,name,gender,power1,power2,power3,power4,power5,series_name,volume_name,genre,poss,mod
0,Hel,she/her,/,0.42857142857142855,0.1038961038961039,-0.08,-0.19230769230769232,A_Simple_Survey,Volume1,"['Fantasy', 'Sci-Fi', 'Supernatural']","{'army': 4, 'eye': 4, 'ear': 4, 'leg': 3, 'power': 3, 'butt': 2, 'face': 2, 'heart': 2, 'title': 2, 'surrounding': 2, 'role': 2, 'fingertip': 2, 'nothing': 1, 'arm': 1, 'foot': 1, 'temple': 1, 'heartstring': 1, 'house': 1, 'guest': 1, 'explanation': 1, 'finger': 1, 'head': 1, 'choice': 1, 'lip': 1, 'fry': 1, 'attention': 1, 'mind': 1, 'origin': 1, 'voice': 1, 'safety': 1, 'own': 1, 'name': 1, 'life': 1, 'determination': 1, 'position': 1, 'instinct': 1, 'soldier': 1, 'force': 1, 'brother': 1, 'friend': 1, 'cry': 1, 'body': 1, 'blackness': 1, 'tool': 1, 'pride': 1, 'way': 1, 'smile': 1, 'rampage': 1, 'reach': 1, 'resolve': 1}","{'head': 3, 'queen': 2, 'desperate': 1, 'old': 1, 'group': 1, 'result': 1, 'shocked': 1, 'aware': 1, 'ruler': 1, 'heroine': 1, 'beautiful': 1, 'sure': 1, 'reaper': 1, 'one': 1, 'identical': 1, 'evil': 1, 'willing': 1}"
1,Kamijou,he/him/his,0.08163265306122448,0.2352941176470588,0.0,0.07142857142857142,0.4230769230769231,A_Simple_Survey,Volume1,"['Fantasy', 'Sci-Fi', 'Supernatural']","{'head': 4, 'collar': 4, 'hand': 4, 'question': 3, 'eye': 3, 'fist': 3, 'doubt': 2, 'comment': 2, 'rifle': 2, 'chin': 1, 'selection': 1, 'suggestion': 1, 'cell': 1, 'handgun': 1, 'waist': 1, 'chest': 1, 'thought': 1, 'leg': 1, 'calf': 1, 'heart': 1, 'argument': 1, 'grimorie': 1, 'action': 1, 'assumption': 1, 'room': 1, 'shout': 1, 'butt': 1, 'mind': 1, 'clothe': 1, 'world': 1, 'neck': 1, 'shoulder': 1, 'arm': 1, 'word': 1, 'balance': 1, 'spine': 1, 'body': 1, 'group': 1, 'something': 1, 'tongue': 1, 'tooth': 1}","{'unable': 3, 'able': 2, 'certain': 1, 'responsible': 1, 'bachelorette': 1, 'sure': 1, 'mutation': 1, 'group': 1, 'about': 1}"
2,Jinnai Shinobu,he/him/his,0.0,0.0,0.2727272727272727,0.0,0.0,A_Simple_Survey,Volume1,"['Fantasy', 'Sci-Fi', 'Supernatural']",{'happiness': 1},{}
3,Waltraute,she/her,0.42857142857142855,0.5142857142857142,0.5555555555555556,0.21739130434782608,0.4,A_Simple_Survey,Volume1,"['Fantasy', 'Sci-Fi', 'Supernatural']","{'horse': 2, 'eye': 2, 'waist': 2, 'sister': 1, 'voice': 1, 'face': 1, 'speed': 1, 'tongue': 1, 'explanation': 1, 'body': 1, 'fist': 1, 'hip': 1, 'answer': 1, 'ear': 1, 'adventure': 1, 'accuracy': 1, 'spear': 1, 'head': 1}","{'able': 2, 'skewer': 1}"
4,Quenser,he/him/his,0,0.0,0.0,0.0,0.0,A_Simple_Survey,Volume1,"['Fantasy', 'Sci-Fi', 'Supernatural']","{'ear': 2, 'heart': 2, 'grimoire': 1, 'eye': 1, 'hand': 1, 'shoulder': 1, 'arm': 1, 'message': 1, 'head': 1, 'way': 1, 'future': 1, 'side': 1, 'complaint': 1, 'body': 1, 'current': 1, 'power': 1}","{'part': 2, 'little': 1}"
5,Julie,she/her,0.3652173913043478,0.0,0.21951219512195122,0.1935483870967742,0.1320754716981132,Absolute_Duo,Volume5,"['Action', 'Ecchi', 'Harem', 'Romance', 'Supernatural']","{'mind': 1, 'reaction': 1, 'desire': 1, 'fang': 1, 'hand': 1, 'light': 1, 'head': 1, 'hair': 1, 'face': 1, 'Duo': 1}",{'safe': 1}
6,Tooru,he/him/his,-0.2857142857142857,0.35294117647058826,-0.14285714285714285,-0.018867924528301886,0.11428571428571428,Absolute_Duo,Volume5,"['Action', 'Ecchi', 'Harem', 'Romance', 'Supernatural']","{'head': 4, 'face': 2, 'back': 2, 'support': 1, 'reaction': 1, 'body': 1, 'death': 1, 'chest': 1, 'hand': 1, 'wound': 1, 'first': 1, 'woman': 1, 'condition': 1, 'life': 1, 'desire': 1, 'sweat': 1, 'hope': 1, 'mood': 1, 'radius': 1, 'hips': 1, 'power': 1, 'will': 1, 'dark': 1, 'intention': 1, 'combos': 1, 'fist': 1, 'leg': 1, 'attack': 1, 'style': 1, 'arm': 1, 'comrade': 1}","{'person': 2, '… …': 1, 'dead': 1, 'husband': 1, 'awake': 1, 'okay': 1, 'able': 1, 'hard': 1, 'free': 1, 'high': 1}"
7,K,he/him/his,0.25675675675675674,-0.0625,/,/,/,Absolute_Duo,Volume5,"['Action', 'Ecchi', 'Harem', 'Romance', 'Supernatural']","{'word': 5, 'gun': 4, 'mind': 3, 'face': 3, 'blade': 3, 'eye': 3, 'attack': 3, 'knee': 3, 'smile': 2, 'body': 2, 'chest': 2, 'style': 2, 'defense': 2, 'life': 2, 'hair': 1, 'hand': 1, 'charge': 1, 'hands------<<k': 1, 'movement': 1, 'loss … … .that': 1, 'gaze': 1, 'Tooru': 1, 'ki': 1, 'blade-----': 1, 'target': 1, 'strategy': 1, 'momentum': 1, 'shoulder': 1, 'mouth': 1, 'prey': 1, 'expression': 1, 'unit': 1, 'posture': 1, 'weapon': 1, 'armor': 1, 'hips': 1, 'calculation': 1, 'power': 1, 'idea': 1, 'denial': 1, '>': 1, 'bond': 1, 'consciousness': 1, 'self': 1, 'emotion': 1, 'eyelid': 1, 'end': 1, 'shape': 1, 'name': 1, 'brother': 1}","{'about': 3, 'able': 3, 'unable': 1, 'demon': 1, 'okay': 1, 'DestructionWings': 1, 'faster': 1}"
8,Tsukimi,she/her,0.18072289156626506,0.0,0.24468085106382978,0.46153846153846156,0.5,Absolute_Duo,Volume5,"['Action', 'Ecchi', 'Harem', 'Romance', 'Supernatural']","{'guard': 2, 'mouth': 1, '>': 1, 'strength': 1}",{}
9,Lilith,she/her,0.0,0.0,0.0,0.0,0.0,Absolute_Duo,Volume5,"['Action', 'Ecchi', 'Harem', 'Romance', 'Supernatural']","{'shoulder': 3, 'face': 2, 'eye': 2, 'head': 2, 'hair': 1, 'hand': 1, 'retort': 1, 'denial': 1, 'back': 1, 'action': 1, 'rival': 1, 'ability': 1, 'suggestion': 1, 'consideration': 1, 'chest': 1, 'group': 1, 'breast': 1, 'thought': 1, 'method': 1, 'bullet': 1, 'finger': 1, 'accuracy': 1, 'trigger': 1, 'attack': 1, 'mouth': 1, 'gift': 1, 'conversation': 1, 'room': 1, 'blueblue': 1, 'situation': 1, 'sentence': 1, 'status': 1}","{'okay': 3, 'about': 1, 'glad': 1, 'scary': 1}"
