,name,gender,power1,power2,power3,power4,power5,series_name,volume_name,genre,poss,mod
0,Huey,he/him/his,0.1810344827586207,0.20930232558139536,0.24390243902439024,0.3036649214659686,-0.15384615384615385,Dantalian_no_Shoka,Volume1,"['Action', 'Fantasy', 'Horror', 'Mystery', 'Supernatural']","{'head': 29, 'hand': 5, 'face': 20, 'eye': 11, 'coat': 10, 'grandfather': 10, 'gaze': 9, 'body': 8, 'gun': 8, 'question': 7, 'shoulder': 7, 'sleeve': 4, 'brow': 4, 'country': 4, 'mouth': 3, 'lip': 3, 'cheek': 1, 'arm': 1, 'brother': 3, 'tongue': 3, 'seat': 2, 'mien': 2, 'bread': 2, 'cup': 2, 'handgun': 2, 'name': 2, 'ear': 2, 'foot': 2, 'expression': 2, 'surprise': 2, 'pocket': 1, 'memory': 2, 'hope': 2, 'chest': 2, 'neck': 2, 'master': 2, 'breath': 2, 'pistol': 2, 'tool': 1, 'parent': 1, 'thought': 1, 'partner': 1, 'cook': 1, 'mutter': 1, 'back': 1, 'potato': 1, 'fault': 1, 'interest': 1, 'business': 1, 'focus': 1, 'table': 1, 'tea': 1, 'existence': 1, 'example': 1, 'shin': 1, 'bewilderment': 1, 'word': 1, 'glance': 1, 'tail': 1, 'chin': 1, 'fire': 1, 'shoot': 1, 'bullet': 1, 'nose': 1, 'sleep': 1, 'skill': 1, 'dalian': 1, 'princess': 1, 'call': 1, 'explanation': 1, 'opinion': 1, 'bed': 1, 'eyesight': 1, 'movement': 1, 'bafflement': 1, 'watch': 1, 'sleepiness': 1, 'property': 1, 'voice': 1, 'introduction': 1, 'heart': 1, 'life': 1, 'way': 1, 'breakfast': 1, 'fatherland': 1, 'uncle': 1, 'cousin': 1, 'book': 1, 'passion': 1, 'residence': 1, 'belly': 1, 'laughter': 1, 'reaction': 1, 'clothe': 1, 'guide': 1, 'choice': 1, 'visit': 1, 'grandpa': 1, 'smile': 1, 'impression': 1, 'figure': 1, 'nightmare': 1, 'stance': 1, 'revolver': 1, 'forehead': 1, 'attention': 1, 'proximity': 1, 'mind': 1, 'flame': 1, 'hair': 1}","{'sure': 4, 'dense': 2, 'incapable': 2, 'pilot': 2, 'able': 2, 'man': 2, 'person': 1, 'hungry': 1, 'asleep': 1, 'interested': 1, 'afraid': 1, 'blood': 1, 'thankful': 1, 'deep': 1, 'friend': 1, 'frighten': 1, 'surprised': 1, 'sorry': 1, 'student': 1, 'bereft': 1, 'happy': 1, 'expectant': 1, 'owner': 1, 'footman': 1, 'grandson': 1, 'son': 1, 'indebted': 1, 'aware': 1}"
1,Dalian,she/her,0.16176470588235295,0.22727272727272727,0.11403508771929824,0.3305785123966942,0.42857142857142855,Dantalian_no_Shoka,Volume1,"['Action', 'Fantasy', 'Horror', 'Mystery', 'Supernatural']","{'face': 10, 'head': 7, 'eye': 7, 'word': 7, 'dress': 5, 'book': 5, 'hand': 4, 'collar': 4, 'arm': 3, 'voice': 3, 'cheek': 3, 'grip': 2, 'body': 2, 'mouth': 2, 'expression': 2, 'lip': 2, 'chest': 2, 'grandfather': 2, 'gaze': 2, 'question': 2, 'skin': 2, 'anxiety': 1, 'countenance': 1, 'dinner': 1, 'opinion': 1, 'movement': 1, 'mid': 1, 'ear': 1, 'neck': 1, 'look': 1, 'boot': 1, 'stare': 1, 'breath': 1, 'path': 1, 'cry': 1, 'hair': 1, 'finger': 1, 'breast': 1, 'part': 1, 'brow': 1, 'daughter': 1, 'statement': 1, 'pace': 1, 'bread': 1, 'tea': 1, 'tongue': 1, 'story': 1, 'rage': 1, 'view': 1, 'character': 1, 'armour': 1, 'back': 1, 'tone': 1, 'explanation': 1, 'answer': 1, 'grandpa': 1, 'age': 1, 'plexus': 1, 'heart': 1, 'cleavage': 1, 'shoulder': 1, 'name': 1}","{'name': 2, 'runner': 2, 'one': 1, 'aware': 1, 'right': 1, 'expressionless': 1, 'beauty': 1, 'tasty': 1, 'about': 1, 'bore': 1, 'hopeless': 1, 'history': 1, 'reluctant': 1, 'fast': 1, 'startle': 1, 'froze': 1, 'nickname': 1}"
2,Hal,he/him/his,/,/,/,/,0.2866666666666667,Dantalian_no_Shoka,Volume1,"['Action', 'Fantasy', 'Horror', 'Mystery', 'Supernatural']","{'collection': 1, 'estate': 1, 'forehead': 1, 'preference': 1}",{}
3,Roy,he/him/his,/,0.3434343434343434,0.3,/,/,Dantalian_no_Shoka,Volume1,"['Action', 'Fantasy', 'Horror', 'Mystery', 'Supernatural']","{'brother': 6, 'face': 5, 'grandfather': 4, 'hand': 4, 'eye': 3, 'arm': 1, 'body': 2, 'mouth': 2, 'gun': 2, 'attitude': 1, 'look': 1, 'shoulder': 1, 'revelation': 1, 'question': 1, 'gasp': 1, 'saliva': 1, 'appearance': 1, 'leg': 1, 'arse': 1, 'handgun': 1, 'mien': 1, 'away': 1, 'lung': 1, 'coat': 1, 'way': 1, 'heart': 1, 'throat': 1, 'back': 1, 'corpse': 1, 'honour': 1, 'achievement': 1, 'capability': 1}","{'able': 2, 'full': 1, 'inferior': 1, 'product': 1, 'about': 1, 'work': 1, 'fast': 1}"
4,Mabel,she/her,/,/,/,/,0.19834710743801653,Dantalian_no_Shoka,Volume1,"['Action', 'Fantasy', 'Horror', 'Mystery', 'Supernatural']","{'home': 4, 'lip': 4, 'face': 3, 'head': 2, 'voice': 2, 'book': 2, 'body': 1, 'cloth': 1, 'movement': 1, 'neck': 1, 'wrist': 1, 'dress': 1, 'straitjacket': 1, 'accord': 1, 'disturbance': 1, 'eye': 1, 'hand': 1, 'plan': 1, 'place': 1, 'intention': 1, 'job': 1, 'side': 1, 'explanation': 1, 'own': 1, 'arrival': 1, 'grandparent': 1, 'sister': 1, 'house': 1, 'version': 1, 'expression': 1, 'sin': 1, 'outcry': 1, 'smile': 1, 'method': 1, 'impression': 1, 'knee': 1, 'chest': 1}","{'officer': 1, 'able': 1, 'sure': 1}"
5,Lesley,she/her,0.22772277227722773,/,/,/,/,Dantalian_no_Shoka,Volume1,"['Action', 'Fantasy', 'Horror', 'Mystery', 'Supernatural']","{'head': 5, 'face': 3, 'father': 3, 'hand': 3, 'back': 2, 'voice': 2, 'spice': 2, 'brow': 1, 'finger': 1, 'lord': 1, 'aversion': 1, 'mood': 1, 'dress': 1, 'attitude': 1, 'apron': 1, 'room': 1, 'cook': 1, 'word': 1, 'plan': 1, 'cookery': 1, 'knife': 1, 'employer': 1, 'technique': 1, 'expression': 1, 'attention': 1, 'Lord': 1}","{'kitchen': 1, 'pleased': 1, 'happy': 1, 'sorrowful': 1, 'target': 1, 'person': 1, 'sure': 1, 'proud': 1, 'aware': 1}"
6,Graham,he/him/his,0.15714285714285714,/,/,/,/,Dantalian_no_Shoka,Volume1,"['Action', 'Fantasy', 'Horror', 'Mystery', 'Supernatural']","{'mansion': 3, 'wish': 3, 'cuisine': 2, 'party': 2, 'head': 2, 'workroom': 2, 'dinner': 2, 'style': 1, 'chef': 1, 'land': 1, 'motto': 1, 'year': 1, 'company': 1, 'study': 1, 'health': 1, 'muscle': 1, 'eye': 1, 'employee': 1, 'lifetime': 1, 'time': 1, 'voice': 1, 'desire': 1, 'ideal': 1, 'cook': 1, 'table': 1, 'appearance': 1, 'mouth': 1, 'silverware': 1, 'skill': 1, 'father': 1}","{'able': 2, 'guest': 1, 'sure': 1, 'interested': 1, 'researcher': 1, 'mistaken': 1, 'man': 1}"
7,Camilla,she/her,/,/,0.26506024096385544,/,/,Dantalian_no_Shoka,Volume1,"['Action', 'Fantasy', 'Horror', 'Mystery', 'Supernatural']","{'head': 7, 'face': 3, 'lip': 3, 'house': 2, 'father': 2, 'student': 2, 'thumb': 2, 'finger': 1, 'bag': 1, 'gaze': 1, 'statement': 1, 'frankness': 1, 'clothe': 1, 'skirt': 1, 'appearance': 1, 'hair': 1, 'foot': 1, 'parent': 1, 'position': 1, 'thought': 1, 'hand': 1, 'hip': 1, 'eye': 1, 'shoulder': 1, 'tea': 1, 'countenance': 1, 'attitude': 1}","{'tall': 1, 'friend': 1}"
8,Chez,he/him/his,/,0.22950819672131148,0.08333333333333333,/,/,Dantalian_no_Shoka,Volume1,"['Action', 'Fantasy', 'Horror', 'Mystery', 'Supernatural']","{'head': 4, 'brother': 3, 'hand': 2, 'voice': 2, 'body': 2, 'rudeness': 1, 'ancestor': 1, 'word': 1, 'shoulder': 1, 'gaze': 1, 'grandfather': 1, 'tooth': 1, 'appearance': 1, 'face': 1, 'knee': 1, 'foot': 1, 'own': 1, 'corpse': 1}","{'young': 1, 'alright': 1, 'one': 1, 'suitable': 1, 'short': 1, 'breed': 1, 'creature': 1, 'about': 1}"
9,Huey,he/him/his,0.03076923076923077,0.23157894736842105,0.3333333333333333,0.2631578947368421,0.29545454545454547,Dantalian_no_Shoka,Volume2,"['Action', 'Fantasy', 'Horror', 'Mystery', 'Supernatural']","{'head': 16, 'expression': 6, 'eye': 1, 'hand': 1, 'voice': 4, 'face': 4, 'question': 4, 'back': 3, 'body': 3, 'word': 3, 'tone': 2, 'leg': 2, 'surrounding': 2, 'daughter': 2, 'grandfather': 2, 'temple': 2, 'pocket': 2, 'generosity': 1, 'mouth': 1, 'action': 1, 'eyebrow': 1, 'breath': 1, 'joke': 1, 'forehead': 1, 'axe': 1, 'foot': 1, 'reaction': 1, 'breathe': 1, 'clothe': 1, 'well': 1, 'coat': 1, 'gun': 1, 'ear': 1, 'motive': 1, 'mistress': 1, 'wife': 1, 'lover': 1, 'friend': 1, 'acquaintance': 1, 'order': 1, 'movement': 1, 'tongue': 1, 'protest': 1, 'partner': 1, 'jaw': 1, 'tooth': 1, 'wrist': 1, 'throat': 1, 'shirt': 1, 'mansion': 1, 'weight': 1, 'arm': 1}","{'lazy': 1, 'character': 1, 'unable': 1, 'knight': 1, 'people': 1, 'surprised': 1, 'interested': 1, 'worried': 1}"
